company name,industry33,stock market,stock number
王子ホールディングス,パルプ・紙,東証1部,3861
日本製紙,パルプ・紙,東証1部,3863
大王製紙,パルプ・紙,東証1部,3880
レンゴー,パルプ・紙,東証1部,3941
北越紀州製紙,パルプ・紙,東証1部,3865
ザ・パック,パルプ・紙,東証1部,3950
特種東海製紙,パルプ・紙,東証1部,3708
トーモク,パルプ・紙,東証1部,3946
朝日印刷,パルプ・紙,東証2部,3951
ニッポン高度紙工業,パルプ・紙,東証JASDAQスタンダード,3891
中越パルプ工業,パルプ・紙,東証1部,3877
三菱製紙,パルプ・紙,東証1部,3864
ダイナパック,パルプ・紙,東証2部,3947
巴川製紙所,パルプ・紙,東証1部,3878
大石産業,パルプ・紙,福証,3943
ハビックス,パルプ・紙,東証JASDAQスタンダード,3895
昭和パックス,パルプ・紙,東証JASDAQスタンダード,3954
中央紙器工業,パルプ・紙,名証2部,3952
阿波製紙,パルプ・紙,東証1部,3896
イムラ封筒,パルプ・紙,東証2部,3955
古林紙工,パルプ・紙,東証2部,3944
スーパーバッグ,パルプ・紙,東証2部,3945
岡山製紙,パルプ・紙,東証JASDAQスタンダード,3892
光ビジネスフォーム,パルプ・紙,東証JASDAQスタンダード,3948
大村紙業,パルプ・紙,東証JASDAQスタンダード,3953
国際チャート,パルプ・紙,東証JASDAQスタンダード,3956
ODKソリューションズ,情報・通信業,東証JASDAQスタンダード,3839
極洋,水産・農林業,東証プライム,1301
ニチロ,水産・農林業,東証1部,1331
ニッスイ,水産・農林業,東証プライム,1332
マルハニチロ,水産・農林業,東証プライム,1333
マルハニチロホールディングス,水産・農林業,東証1部,1334
雪国まいたけ,水産・農林業,東証プライム,1375
カネコ種苗,水産・農林業,東証スタンダード,1376
サカタのタネ,水産・農林業,東証プライム,1377
雪国まいたけ,水産・農林業,東証2部,1378
ホクト,水産・農林業,東証プライム,1379
秋川牧園,水産・農林業,東証スタンダード,1380
アクシーズ,水産・農林業,東証スタンダード,1381
ホーブ,水産・農林業,東証スタンダード,1382
ベルグアース,水産・農林業,東証スタンダード,1383
ホクリヨウ,水産・農林業,東証スタンダード,1384
住友石炭鉱業,鉱業,東証1部,1503
住石ホールディングス,鉱業,東証スタンダード,1514
日鉄鉱業,鉱業,東証プライム,1515
三井松島ホールディングス,鉱業,東証プライム,1518
ＩＮＰＥＸ,鉱業,東証プライム,1605
日本海洋掘削,鉱業,東証1部,1606
関東天然瓦斯開発,鉱業,東証1部,1661
石油資源開発,鉱業,東証プライム,1662
Ｋ＆Ｏエナジーグループ,鉱業,東証プライム,1663
共立マテリアル,鉱業,名証2部,1702
ジパング,鉱業,東証JASDAQ（スタンダード）,2684
ルーデン・ホールディングス,建設業,東証グロース,1400
エムビーエス,建設業,東証グロース,1401
サーラ住宅,建設業,東証2部,1405
ウエストホールディングス,建設業,東証スタンダード,1407
サムシングホールディングス,建設業,東証JASDAQ（グロース）,1408
チャイナ・ボーチー・エンバイロメンタル・ソリューションズ・テクノロジー（ホールディング）カンパニー・リミテッド,建設業,東証1部,1412
ヒノキヤグループ,建設業,東証プライム,1413
ショーボンドホールディングス,建設業,東証プライム,1414
日本インテグランドホールディングス,建設業,大証,1416
ミライト・ワン,建設業,東証プライム,1417
インターライフホールディングス,建設業,東証スタンダード,1418
タマホーム,建設業,東証プライム,1419
サンヨーホームズ,建設業,東証スタンダード,1420
日本アクア,建設業,東証プライム,1429
ファーストコーポレーション,建設業,東証プライム,1430
Ｌｉｂ　Ｗｏｒｋ,建設業,東証グロース,1431
ベステラ,建設業,東証プライム,1433
ＪＥＳＣＯホールディングス,建設業,東証スタンダード,1434
Ｒｏｂｏｔ　Ｈｏｍｅ,建設業,東証プライム,1435
フィット,建設業,東証グロース,1436
岐阜造園,建設業,東証スタンダード,1438
安江工務店,建設業,東証スタンダード,1439
技研ホールディングス,建設業,東証スタンダード,1443
ニッソウ,建設業,東証グロース,1444
キャンディル,建設業,東証スタンダード,1446
ＩＴｂｏｏｋホールディングス,建設業,東証グロース,1447
スペースバリューホールディングス,建設業,東証1部,1448
ＦＵＪＩジャパン,建設業,札証普通,1449
田中建設工業,建設業,東証スタンダード,1450
ＫＨＣ,建設業,東証スタンダード,1451
ジェイオーグループホールディングス,建設業,大証,1710
ＳＤＳホールディングス,建設業,東証スタンダード,1711
ダイセキ環境ソリューション,建設業,東証プライム,1712
第一カッター興業,建設業,東証プライム,1716
美樹工業,建設業,東証スタンダード,1718
安藤・間,建設業,東証プライム,1719
東急建設,建設業,東証プライム,1720
コムシスホールディングス,建設業,東証プライム,1721
ミサワホーム,建設業,東証1部,1722
日本電技,建設業,東証スタンダード,1723
シンクレイヤ,建設業,東証スタンダード,1724
フジタ,建設業,東証2部,1725
ビーアールホールディングス,建設業,東証プライム,1726
ミサワホーム中国,建設業,東証JASDAQ（スタンダード）,1728
三光ソフランホールディングス,建設業,へ証,1729
麻生フオームクリート,建設業,東証スタンダード,1730
北弘電社,建設業,札証普通,1734
伊田テクノス,建設業,ジ証,1735
オーテック,建設業,東証スタンダード,1736
三井金属エンジニアリング,建設業,東証2部,1737
ＮＩＴＴＯＨ,建設業,名証メイン,1738
メルディアＤＣ,建設業,東証グロース,1739
ミサワホームサンイン,建設業,ジ証,1741
セコムテクノサービス,建設業,東証2部,1742
コーアツ工業,建設業,東証スタンダード,1743
キョーエイ産業,建設業,ジ証,1744
ミサワホーム北日本,建設業,ジ証,1748
カナック,建設業,大証,1750
日立プラント建設サービス,建設業,ジ証,1751
土屋ツーバイホーム,建設業,ジ証,1753
東新住建,建設業,ジ証,1754
和興エンジニアリング,建設業,ジ証,1756
中小企業ホールディングス,建設業,東証スタンダード,1757
太洋基礎工業,建設業,東証スタンダード,1758
ミサワホーム北海道,建設業,札証普通,1761
高松コンストラクショングループ,建設業,東証プライム,1762
北陸ミサワホーム,建設業,ジ証,1763
工藤建設,建設業,東証スタンダード,1764
東建コーポレーション,建設業,東証プライム,1766
沖ウィンテック,建設業,東証2部,1767
ソネック,建設業,東証スタンダード,1768
藤田エンジニアリング,建設業,東証スタンダード,1770
日本乾溜工業,建設業,福証普通,1771
ＹＴＬ,建設業,東証プライム,1773
機動建設工業,建設業,大証,1774
富士古河Ｅ＆Ｃ,建設業,東証スタンダード,1775
三井住建道路,建設業,東証スタンダード,1776
川崎設備工業,建設業,名証メイン,1777
古河総合設備,建設業,東証2部,1778
松本建工,建設業,ジ証,1779
ヤマウラ,建設業,東証プライム,1780
国土総合建設,建設業,ジ証,1781
常磐開発,建設業,東証JASDAQ（スタンダード）,1782
アジアゲートホールディングス,建設業,東証スタンダード,1783
オリエンタル白石,建設業,東証プライム,1786
ナカボーテック,建設業,東証スタンダード,1787
三東工業社,建設業,東証スタンダード,1788
ＥＴＳホールディングス,建設業,東証スタンダード,1789
平和奥田,建設業,大証,1790
みらい建設グループ,建設業,東証1部,1792
大本組,建設業,東証スタンダード,1793
マサル,建設業,東証スタンダード,1795
守谷商会,建設業,東証スタンダード,1798
第一建設工業,建設業,東証スタンダード,1799
大成建設,建設業,東証プライム,1801
大林組,建設業,東証プライム,1802
清水建設,建設業,東証プライム,1803
飛島建設,建設業,東証プライム,1805
佐藤渡辺,建設業,東証スタンダード,1807
長谷工コーポレーション,建設業,東証プライム,1808
松井建設,建設業,東証プライム,1810
錢高組,建設業,東証スタンダード,1811
鹿島,建設業,東証プライム,1812
不動テトラ,建設業,東証プライム,1813
大末建設,建設業,東証プライム,1814
鉄建建設,建設業,東証プライム,1815
安藤建設,建設業,東証1部,1816
日鉄住金テックスエンジ,建設業,東証1部,1819
西松建設,建設業,東証プライム,1820
三井住友建設,建設業,東証プライム,1821
大豊建設,建設業,東証プライム,1822
