,company name,industry33,stock market,stock number
0,極洋,水産・農林業,東証1部,1301
1,日本水産,水産・農林業,東証1部,1332
2,サカタのタネ,水産・農林業,東証1部,1377
3,マルハニチロ,水産・農林業,東証1部,1333
4,ホクト,水産・農林業,東証1部,1379
5,アクシーズ,水産・農林業,東証JASDAQスタンダード,1381
6,カネコ種苗,水産・農林業,東証1部,1376
7,ホクリヨウ,水産・農林業,東証1部,1384
8,秋川牧園,水産・農林業,東証JASDAQスタンダード,1380
9,ベルグアース,水産・農林業,東証JASDAQスタンダード,1383
10,ホーブ,水産・農林業,東証JASDAQスタンダード,1382
11,TOTO,ガラス・土石,東証1部,5332
12,旭硝子,ガラス・土石,東証1部,5201
13,日本碍子,ガラス・土石,東証1部,5333
14,太平洋セメント,ガラス・土石,東証1部,5233
15,日本特殊陶業,ガラス・土石,東証1部,5334
16,日本電気硝子,ガラス・土石,東証1部,5214
17,東海カーボン,ガラス・土石,東証1部,5301
18,住友大阪セメント,ガラス・土石,東証1部,5232
19,ニチアス,ガラス・土石,東証1部,5393
20,ニチハ,ガラス・土石,東証1部,7943
21,日東紡績,ガラス・土石,東証1部,3110
22,MARUWA,ガラス・土石,東証1部,5344
23,日本板硝子,ガラス・土石,東証1部,5202
24,ノリタケカンパニーリミテド,ガラス・土石,東証1部,5331
25,オハラ,ガラス・土石,東証1部,5218
26,東洋炭素,ガラス・土石,東証1部,5310
27,フジミインコーポレーテッド,ガラス・土石,東証1部,5384
28,三谷セキサン,ガラス・土石,東証1部,5273
29,日本カーボン,ガラス・土石,東証1部,5302
30,黒崎播磨,ガラス・土石,東証1部,5352
31,品川リフラクトリーズ,ガラス・土石,東証1部,5351
32,SECカーボン,ガラス・土石,東証2部,5304
33,日本コンクリート工業,ガラス・土石,東証1部,5269
34,イソライト工業,ガラス・土石,東証1部,5358
35,ジオスター,ガラス・土石,東証2部,5282
36,アジアパイルホールディングス,ガラス・土石,東証1部,5288
37,日本ヒューム,ガラス・土石,東証1部,5262
38,日本山村硝子,ガラス・土石,東証1部,5210
39,東京窯業,ガラス・土石,東証1部,5363
40,ゼニス羽田ホールディングス,ガラス・土石,東証2部,5289
41,ノザワ,ガラス・土石,東証2部,5237
42,ヨータイ,ガラス・土石,東証1部,5357
43,クニミネ工業,ガラス・土石,東証2部,5388
44,ニッカトー,ガラス・土石,東証1部,5367
45,石塚硝子,ガラス・土石,東証1部,5204
46,エーアンドエーマテリアル,ガラス・土石,東証1部,5391
47,神島化学工業,ガラス・土石,東証2部,4026
48,旭コンクリート工業,ガラス・土石,東証2部,5268
49,チヨダウーテ,ガラス・土石,東証JASDAQスタンダード,5387
50,Mipox,ガラス・土石,東証JASDAQスタンダード,5381
51,テクノクオーツ,ガラス・土石,東証JASDAQスタンダード,5217
52,美濃窯業,ガラス・土石,名証2部,5356
53,スパンクリートコーポレーション,ガラス・土石,東証JASDAQスタンダード,5277
54,ダントーホールディングス,ガラス・土石,東証1部,5337
55,日本坩堝,ガラス・土石,東証2部,5355
56,トーヨーアサノ,ガラス・土石,東証2部,5271
57,ヤマックス,ガラス・土石,東証JASDAQスタンダード,5285
58,ニッコー,ガラス・土石,名証2部,5343
59,倉元製作所,ガラス・土石,東証JASDAQスタンダード,5216
60,アサヒ衛陶,ガラス・土石,東証2部,5341
61,イトーヨーギョー,ガラス・土石,東証2部,5287
62,鶴弥,ガラス・土石,東証2部,5386
63,ジャニス工業,ガラス・土石,名証2部,5342
64,ヤマウ,ガラス・土石,東証JASDAQスタンダード,5284
65,日本興業,ガラス・土石,東証JASDAQスタンダード,5279
66,理研コランダム,ガラス・土石,東証2部,5395
67,不二硝子,ガラス・土石,東証JASDAQスタンダード,5212
68,新東,ガラス・土石,東証JASDAQスタンダード,5380
69,国際石油開発帝石,鉱業,東証1部,1605
70,石油資源開発,鉱業,東証1部,1662
71,日鉄鉱業,鉱業,東証1部,1515
72,K＆Oエナジーグループ,鉱業,東証1部,1663
73,日本海洋掘削,鉱業,東証1部,1606
74,三井松島産業,鉱業,東証1部,1518
75,住石ホールディングス,鉱業,東証1部,1514
76,大和ハウス工業,建設業,東証1部,1925
77,大東建託,建設業,東証1部,1878
78,積水ハウス,建設業,東証1部,1928
79,大成建設,建設業,東証1部,1801
80,鹿島建設,建設業,東証1部,1812
81,大林組,建設業,東証1部,1802
82,清水建設,建設業,東証1部,1803
83,日揮,建設業,東証1部,1963
84,長谷工コーポレーション,建設業,東証1部,1808
85,コムシスホールディングス,建設業,東証1部,1721
86,きんでん,建設業,東証1部,1944
87,九電工,建設業,東証1部,1959
88,住友林業,建設業,東証1部,1911
89,協和エクシオ,建設業,東証1部,1951
90,NIPPO,建設業,東証1部,1881
91,前田建設工業,建設業,東証1部,1824
92,戸田建設,建設業,東証1部,1860
93,前田道路,建設業,東証1部,1883
94,五洋建設,建設業,東証1部,1893
95,関電工,建設業,東証1部,1942
96,ショーボンドホールディングス,建設業,東証1部,1414
97,千代田化工建設,建設業,東証1部,6366
98,奥村組,建設業,東証1部,1833
99,東芝プラントシステム,建設業,東証1部,1983
100,中電工,建設業,東証1部,1941
101,東建コーポレーション,建設業,東証1部,1766
102,西松建設,建設業,東証1部,1820
103,高砂熱学工業,建設業,東証1部,1969
104,安藤・間,建設業,東証1部,1719
105,日本電設工業,建設業,東証1部,1950
106,熊谷組,建設業,東証1部,1861
107,ミライト・ホールディングス,建設業,東証1部,1417
108,大氣社,建設業,東証1部,1979
109,東鉄工業,建設業,東証1部,1835
110,インベスターズクラウド,建設業,東証1部,1435
111,高松コンストラクショングループ,建設業,東証1部,1762
112,東急建設,建設業,東証1部,1720
113,三井住友建設,建設業,東証1部,1821
114,住友電設,建設業,東証1部,1949
115,三機工業,建設業,東証1部,1961
116,ユアテック,建設業,東証1部,1934
117,ライト工業,建設業,東証1部,1926
118,日比谷総合設備,建設業,東証1部,1982
119,東亜建設工業,建設業,東証1部,1885
120,ダイダン,建設業,東証1部,1980
121,日本道路,建設業,東証1部,1884
122,トーエネック,建設業,東証1部,1946
123,東洋建設,建設業,東証1部,1890
124,福田組,建設業,東証1部,1899
125,青木あすなろ建設,建設業,東証1部,1865
126,新日本建設,建設業,東証1部,1879
127,太平電業,建設業,東証1部,1968
128,新興プランテック,建設業,東証1部,6379
129,日成ビルド工業,建設業,東証1部,1916
130,鉄建建設,建設業,東証1部,1815
131,三井ホーム,建設業,東証1部,1868
132,大豊建設,建設業,東証1部,1822
133,東洋エンジニアリング,建設業,東証1部,6330
134,東京エネシス,建設業,東証1部,1945
135,明星工業,建設業,東証1部,1976
136,錢高組,建設業,東証1部,1811
137,矢作建設工業,建設業,東証1部,1870
138,ミサワホーム,建設業,東証1部,1722
139,ピーエス三菱,建設業,東証1部,1871
140,OSJBホールディングス,建設業,東証1部,5912
141,新日本空調,建設業,東証1部,1952
142,淺沼組,建設業,東証1部,1852
143,大本組,建設業,東証JASDAQスタンダード,1793
144,日本ハウスホールディングス,建設業,東証1部,1873
145,桧家ホールディングス,建設業,東証2部,1413
146,第一建設工業,建設業,東証JASDAQスタンダード,1799
147,不動テトラ,建設業,東証1部,1813
148,日本リーテック,建設業,東証2部,1938
149,日特建設,建設業,東証1部,1929
150,飛島建設,建設業,東証1部,1805
151,松井建設,建設業,東証1部,1810
152,北陸電気工事,建設業,東証1部,1930
153,名工建設,建設業,名証2部,1869
154,北野建設,建設業,東証1部,1866
155,巴コーポレーション,建設業,東証1部,1921
156,NDS,建設業,東証1部,1956
157,日本電技,建設業,東証JASDAQスタンダード,1723
158,世紀東急工業,建設業,東証1部,1898
159,四電工,建設業,東証1部,1939
160,ダイセキ環境ソリューション,建設業,東証1部,1712
161,朝日工業社,建設業,東証1部,1975
162,東亜道路工業,建設業,東証1部,1882
163,タマホーム,建設業,東証1部,1419
164,若築建設,建設業,東証1部,1888
165,ヤマト,建設業,東証1部,1967
166,フィル・カンパニー,建設業,東証マザーズ,3267
167,ナカノフドー建設,建設業,東証1部,1827
168,シーキューブ,建設業,名証1部,1936
169,ウエストホールディングス,建設業,東証JASDAQスタンダード,1407
170,日本アクア,建設業,東証マザーズ,1429
171,ファーストコーポレーション,建設業,東証1部,1430
172,中外炉工業,建設業,東証1部,1964
173,テクノ菱和,建設業,東証2部,1965
174,ヤマウラ,建設業,東証1部,1780
175,ベステラ,建設業,東証1部,1433
176,サンテック,建設業,東証2部,1960
177,南海辰村建設,建設業,東証2部,1850
178,富士古河E＆C,建設業,東証2部,1775
179,三井金属エンジニアリング,建設業,東証2部,1737
180,イチケン,建設業,東証1部,1847
181,ビーアールホールディングス,建設業,東証1部,1726
182,三晃金属工業,建設業,東証1部,1972
183,大成温調,建設業,東証JASDAQスタンダード,1904
184,富士ピー・エス,建設業,東証2部,1848
185,ヤマダ・エスバイエルホーム,建設業,東証1部,1919
186,森組,建設業,東証2部,1853
